Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
2003-06-23,Thailand,9.0,2.0,7.0
2003-06-23,United Kingdom,4.0,0.0,4.0
2003-06-23,United States,74.0,0.0,36.0
2003-06-23,Viet Nam,63.0,5.0,58.0
2003-06-24,Brazil,3.0,0.0,2.0
2003-06-24,Canada,249.0,37.0,188.0
2003-06-24,China,5326.0,347.0,4901.0
2003-06-24,Hong Kong SAR, China,1755.0,296.0,1417.0
2003-06-24,Macao SAR, China,1.0,0.0,1.0
2003-06-24,Taiwan, China,687.0,84.0,492.0
2003-06-24,Colombia,1.0,0.0,1.0
2003-06-24,Finland,1.0,0.0,1.0
2003-06-24,France,7.0,0.0,6.0
2003-06-24,Germany,10.0,0.0,9.0
2003-06-24,India,3.0,0.0,3.0
2003-06-24,Indonesia,2.0,0.0,2.0
2003-06-24,Italy,9.0,0.0,9.0
2003-06-24,Kuwait,1.0,0.0,1.0
2003-06-24,Malaysia,5.0,2.0,3.0
2003-06-24,Mongolia,9.0,0.0,9.0
2003-06-24,New Zealand,1.0,0.0,1.0
2003-06-24,Philippines,14.0,2.0,12.0
2003-06-24,Republic of Ireland,1.0,0.0,1.0
2003-06-24,Republic of Korea,3.0,0.0,3.0
2003-06-24,Romania,1.0,0.0,1.0
2003-06-24,Russian Federation,1.0,0.0,0.0
2003-06-24,Singapore,206.0,31.0,170.0
2003-06-24,South Africa,1.0,1.0,0.0
2003-06-24,Spain,1.0,0.0,1.0
2003-06-24,Sweden,3.0,0.0,3.0
2003-06-24,Switzerland,1.0,0.0,1.0
2003-06-24,Thailand,9.0,2.0,7.0
2003-06-24,United Kingdom,4.0,0.0,4.0
2003-06-24,United States,75.0,0.0,36.0
2003-06-24,Viet Nam,63.0,5.0,58.0
2003-06-25,Brazil,3.0,0.0,2.0
2003-06-25,Canada,250.0,37.0,188.0
2003-06-25,China,5327.0,348.0,4916.0
2003-06-25,Hong Kong SAR, China,1755.0,296.0,1419.0
2003-06-25,Macao SAR, China,1.0,0.0,1.0
2003-06-25,Taiwan, China,686.0,84.0,492.0
2003-06-25,Colombia,1.0,0.0,1.0
2003-06-25,Finland,1.0,0.0,1.0
2003-06-25,France,7.0,0.0,6.0
2003-06-25,Germany,10.0,0.0,9.0
2003-06-25,India,3.0,0.0,3.0
2003-06-25,Indonesia,2.0,0.0,2.0
2003-06-25,Italy,9.0,0.0,9.0
2003-06-25,Japan,1.0,0.0,0.0
2003-06-25,Kuwait,1.0,0.0,1.0
2003-06-25,Malaysia,5.0,2.0,3.0
2003-06-25,Mongolia,9.0,0.0,9.0
2003-06-25,New Zealand,1.0,0.0,1.0
2003-06-25,Philippines,14.0,2.0,12.0
2003-06-25,Republic of Ireland,1.0,0.0,1.0
2003-06-25,Republic of Korea,3.0,0.0,3.0
2003-06-25,Romania,1.0,0.0,1.0
2003-06-25,Russian Federation,1.0,0.0,0.0
2003-06-25,Singapore,206.0,31.0,170.0
2003-06-25,South Africa,1.0,1.0,0.0
2003-06-25,Spain,1.0,0.0,1.0
2003-06-25,Sweden,3.0,0.0,3.0
2003-06-25,Switzerland,1.0,0.0,1.0
2003-06-25,Thailand,9.0,2.0,7.0
2003-06-25,United Kingdom,4.0,0.0,4.0
2003-06-25,United States,75.0,0.0,36.0
2003-06-25,Viet Nam,63.0,5.0,58.0
2003-06-26,Brazil,3.0,0.0,2.0
2003-06-26,Canada,251.0,37.0,190.0
2003-06-26,China,5327.0,348.0,4921.0
2003-06-26,Hong Kong SAR, China,1755.0,296.0,1419.0
2003-06-26,Macao SAR, China,1.0,0.0,1.0
2003-06-26,Taiwan, China,682.0,84.0,491.0
2003-06-26,Colombia,1.0,0.0,1.0
2003-06-26,Finland,1.0,0.0,1.0
2003-06-26,France,7.0,0.0,6.0
2003-06-26,Germany,10.0,0.0,9.0
2003-06-26,India,3.0,0.0,3.0
2003-06-26,Indonesia,2.0,0.0,2.0
2003-06-26,Italy,9.0,0.0,9.0
2003-06-26,Japan,1.0,0.0,0.0
2003-06-26,Kuwait,1.0,0.0,1.0
2003-06-26,Malaysia,5.0,2.0,3.0
2003-06-26,Mongolia,9.0,0.0,9.0
2003-06-26,New Zealand,1.0,0.0,1.0
2003-06-26,Philippines,14.0,2.0,12.0
2003-06-26,Republic of Ireland,1.0,0.0,1.0
2003-06-26,Republic of Korea,3.0,0.0,3.0
2003-06-26,Romania,1.0,0.0,1.0
2003-06-26,Russian Federation,1.0,0.0,0.0
2003-06-26,Singapore,206.0,32.0,170.0
2003-06-26,South Africa,1.0,1.0,0.0
2003-06-26,Spain,1.0,0.0,1.0
2003-06-26,Sweden,3.0,0.0,3.0
2003-06-26,Switzerland,1.0,0.0,1.0
2003-06-26,Thailand,9.0,2.0,7.0
2003-06-26,United Kingdom,4.0,0.0,4.0
2003-06-26,United States,74.0,0.0,36.0
2003-06-26,Viet Nam,63.0,5.0,58.0
2003-06-27,Brazil,3.0,0.0,2.0
2003-06-27,Canada,251.0,37.0,191.0
2003-06-27,China,5327.0,348.0,4921.0
2003-06-27,Hong Kong SAR, China,1755.0,297.0,1422.0
2003-06-27,Macao SAR, China,1.0,0.0,1.0
2003-06-27,Taiwan, China,681.0,84.0,492.0
2003-06-27,Colombia,1.0,0.0,1.0
2003-06-27,Finland,1.0,0.0,1.0
2003-06-27,France,7.0,0.0,6.0
2003-06-27,Germany,10.0,0.0,9.0
2003-06-27,India,3.0,0.0,3.0
2003-06-27,Indonesia,2.0,0.0,2.0
2003-06-27,Italy,5.0,0.0,5.0
2003-06-27,Kuwait,1.0,0.0,1.0
2003-06-27,Malaysia,5.0,2.0,3.0
2003-06-27,Mongolia,9.0,0.0,9.0
2003-06-27,New Zealand,1.0,0.0,1.0
2003-06-27,Philippines,14.0,2.0,12.0
2003-06-27,Republic of Ireland,1.0,0.0,1.0
2003-06-27,Republic of Korea,3.0,0.0,3.0
2003-06-27,Romania,1.0,0.0,1.0
2003-06-27,Russian Federation,1.0,0.0,0.0
2003-06-27,Singapore,206.0,32.0,171.0
2003-06-27,South Africa,1.0,1.0,0.0
2003-06-27,Spain,1.0,0.0,1.0
2003-06-27,Sweden,3.0,0.0,3.0
2003-06-27,Switzerland,1.0,0.0,1.0
2003-06-27,Thailand,9.0,2.0,7.0
2003-06-27,United Kingdom,4.0,0.0,4.0
2003-06-27,United States,74.0,0.0,64.0
2003-06-27,Viet Nam,63.0,5.0,58.0
2003-06-30,Australia,5.0,0.0,5.0
2003-06-30,Brazil,3.0,0.0,2.0
2003-06-30,Canada,252.0,37.0,192.0
2003-06-30,China,5327.0,348.0,4927.0
2003-06-30,Hong Kong SAR, China,1755.0,298.0,1429.0
2003-06-30,Macao SAR, China,1.0,0.0,1.0
2003-06-30,Taiwan, China,678.0,84.0,495.0
2003-06-30,Colombia,1.0,0.0,1.0
2003-06-30,Finland,1.0,0.0,1.0
2003-06-30,France,7.0,0.0,6.0
2003-06-30,Germany,10.0,0.0,9.0
2003-06-30,India,3.0,0.0,3.0
2003-06-30,Indonesia,2.0,0.0,2.0
2003-06-30,Italy,5.0,0.0,5.0
