Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
7534.0,NORTHLAKE S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,COVINGTON, LA,6/25/1985 ,FSLIC,32029.0,TRANSFER,148074.0,141383.0,NaN
NaN,COMMUNITY FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,BATON ROUGE, LA,6/25/1985 ,FSLIC,32015.0,TRANSFER,46831.0,47936.0,NaN
7530.0,SUN BELT FEDERAL BANK, FSB,SAVINGS BANK,STATE,LAKE PROVIDENCE, LA,6/25/1985 ,FSLIC,28913.0,TRANSFER,269111.0,278335.0,NaN
2475.0,FIRST BANK & TRUST,COMMERCIAL BANK,STATE,TRACY CITY, TN,6/28/1985 ,FDIC,4968.0,ACQUISITION,19718.0,21123.0,NaN
2476.0,MADISON BANK,COMMERCIAL BANK,STATE,MADISON, KS,7/2/1985 ,FDIC,10510.0,ACQUISITION,7739.0,8392.0,NaN
2477.0,THE FIRST NATIONAL BANK OF JACKSONVILLE,COMMERCIAL BANK,FEDERAL,JACKSONVILLE, AL,7/5/1985 ,FDIC,14837.0,ACQUISITION,39643.0,43290.0,NaN
6584.0,CROSSROADS STATE BANK,COMMERCIAL BANK,STATE,OKLAHOMA CITY, OK,7/11/1985 ,FDIC,22163.0,PAYOUT,17101.0,17776.0,NaN
5586.0,THE FIRST NATIONAL BANK OF DAROUZZET,COMMERCIAL BANK,FEDERAL,DARROUZETT, TX,7/18/1985 ,FDIC,3166.0,PAYOUT,11388.0,18213.0,NaN
2478.0,ESKRIDGE STATE BANK,COMMERCIAL BANK,STATE,ESKRIDGE, KS,7/18/1985 ,FDIC,17962.0,ACQUISITION,9435.0,10137.0,NaN
7543.0,SUNRISE, S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,LAKE WORTH, FL,7/18/1985 ,FSLIC,32016.0,TRANSFER,1498748.0,1516512.0,NaN
2480.0,LINN COUNTY BANK,COMMERCIAL BANK,STATE,LINNEUS, MO,7/19/1985 ,FDIC,10625.0,ACQUISITION,5301.0,5381.0,NaN
2479.0,GILPIN COUNTY BANK,COMMERCIAL BANK,STATE,BLACK HAWK, CO,7/19/1985 ,FDIC,22851.0,ACQUISITION,3481.0,3861.0,NaN
2482.0,FIRST NATIONAL BANK OF GLENROCK,COMMERCIAL BANK,FEDERAL,GLENROCK, WY,7/23/1985 ,FDIC,18928.0,ACQUISITION,16463.0,18686.0,NaN
2481.0,THE FIRST NATIONAL BANK OF ONAGA,COMMERCIAL BANK,FEDERAL,ONAGA, KS,7/23/1985 ,FDIC,4745.0,ACQUISITION,22259.0,22379.0,NaN
2483.0,KANSAS AMERICAN BANK,COMMERCIAL BANK,STATE,OVERLAND PARK, KS,7/25/1985 ,FDIC,20699.0,ACQUISITION,23888.0,25707.0,NaN
2484.0,CITIZENS STATE BANK OF EL DORADO,COMMERCIAL BANK,STATE,EL DORADO, KS,7/25/1985 ,FDIC,12423.0,ACQUISITION,29527.0,31185.0,NaN
2491.0,RIVERSIDE NATIONAL BANK OF HOUSTON,COMMERCIAL BANK,FEDERAL,HOUSTON, TX,8/1/1985 ,FDIC,18862.0,ACQUISITION,17158.0,18365.0,NaN
2485.0,FARMERS STATE BANK,COMMERCIAL BANK,STATE,RISING CITY, NE,8/2/1985 ,FDIC,11828.0,ACQUISITION,11929.0,12845.0,NaN
7520.0,BELL SAVINGS BANC,SAVINGS ASSOCIATION,FEDERAL/STATE,TEMPLE, TX,8/2/1985 ,FSLIC,29527.0,TRANSFER,288045.0,185009.0,NaN
2486.0,FARMERS STATE BANK OF ROUND LAKE,COMMERCIAL BANK,STATE,ROUND LAKE, MN,8/2/1985 ,FDIC,10970.0,ACQUISITION,20903.0,23210.0,NaN
2489.0,MINEOLA STATE BANK,COMMERCIAL BANK,STATE,MINEOLA, IA,8/6/1985 ,FDIC,14180.0,ACQUISITION,4928.0,5205.0,NaN
2490.0,SECURITY BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,MIDWEST CITY, OK,8/8/1985 ,FDIC,18907.0,ACQUISITION,33426.0,34976.0,NaN
2492.0,STATE BANK OF FARMERSVILLE,COMMERCIAL BANK,STATE,FARMERSVILLE, IL,8/9/1985 ,FDIC,10085.0,ACQUISITION,12118.0,11984.0,NaN
NaN,SIERRA FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,DENVER, CO,8/9/1985 ,FSLIC,31906.0,TRANSFER,81482.0,48363.0,NaN
6600.0,STATE BANK OF HERNDON,COMMERCIAL BANK,STATE,HERNDON, KS,8/14/1985 ,FDIC,15380.0,PAYOUT,5758.0,6237.0,NaN
5601.0,PARK WEST BANK, N.A.,COMMERCIAL BANK,FEDERAL,FARMERS BRANCH, TX,8/15/1985 ,FDIC,24761.0,TRANSFER,18232.0,20544.0,NaN
7521.0,MONTANA S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,KALISPELL, MT,8/16/1985 ,FSLIC,32055.0,PAYOUT,30360.0,26949.0,NaN
7557.0,CENTENNIAL  S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,GUERNEVILLE, CA,8/20/1985 ,FSLIC,31818.0,TRANSFER,367831.0,368163.0,NaN
6602.0,THE BANK OF BRONSON,COMMERCIAL BANK,STATE,BRONSON, KS,8/23/1985 ,FDIC,10501.0,PAYOUT,9294.0,9604.0,NaN
7522.0,ALLIANCE FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,KENNER, LA,8/23/1985 ,FSLIC,32083.0,TRANSFER,133989.0,188137.0,NaN
2494.0,MISSOURI DELTA BANK,COMMERCIAL BANK,STATE,HAYTI, MO,8/28/1985 ,FDIC,19574.0,ACQUISITION,8112.0,9116.0,NaN
2493.0,CARDWELL STATE BANK,COMMERCIAL BANK,STATE,CARDWELL, MO,8/28/1985 ,FDIC,16084.0,ACQUISITION,5664.0,6206.0,NaN
7541.0,PRESIDIO  S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,PORTERVILLE, CA,8/28/1985 ,FSLIC,31749.0,TRANSFER,244890.0,284494.0,NaN
2495.0,MONCOR BANK, N.A.,COMMERCIAL BANK,FEDERAL,HOBBS, NM,8/30/1985 ,FDIC,16798.0,ACQUISITION,220340.0,229302.0,NaN
NaN,WESTSIDE FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SEATTLE, WA,8/30/1985 ,FSLIC,28124.0,TRANSFER,325085.0,378366.0,NaN
2496.0,THE BANK OF LORETTO,COMMERCIAL BANK,STATE,LORETTO, TN,9/4/1985 ,FDIC,6096.0,ACQUISITION,24782.0,25637.0,NaN
6607.0,BANK OF CLIFTON,COMMERCIAL BANK,STATE,CLIFTON, CO,9/6/1985 ,FDIC,23209.0,PAYOUT,9839.0,10887.0,NaN
2498.0,FIRST SECURITY BANK OF DICKSON,COMMERCIAL BANK,STATE,DICKSON, TN,9/12/1985 ,FDIC,20490.0,ACQUISITION,14259.0,14785.0,NaN
2497.0,MONCOR BANK, N.A.,COMMERCIAL BANK,FEDERAL,ROSWELL, NM,9/12/1985 ,FDIC,24106.0,ACQUISITION,32901.0,33293.0,NaN
5610.0,THE FIRST NATIONAL BANK OF ROCKLAND,COMMERCIAL BANK,FEDERAL,RAMAPO, NY,9/13/1985 ,FDIC,21562.0,TRANSFER,25309.0,29482.0,NaN
6611.0,ELBA STATE BANK,COMMERCIAL BANK,STATE,ELBA, NE,9/18/1985 ,FDIC,12743.0,PAYOUT,4217.0,4735.0,NaN
6612.0,THE SEDAN STATE BANK,COMMERCIAL BANK,STATE,SEDAN, KS,9/25/1985 ,FDIC,1148.0,PAYOUT,26586.0,28153.0,NaN
5614.0,THE FIRST NATIONLAL BANK IN TERRAL,COMMERCIAL BANK,FEDERAL,TERRAL, OK,9/27/1985 ,FDIC,4207.0,PAYOUT,3948.0,4063.0,NaN
2499.0,WESTERN STATE BANK,COMMERCIAL BANK,STATE,DENTON, TX,9/27/1985 ,FDIC,18760.0,ACQUISITION,23678.0,27831.0,NaN
2500.0,TOWER BANK, N.A.,COMMERCIAL BANK,FEDERAL,HIALEAH GARDENS, FL,10/3/1985 ,FDIC,24573.0,ACQUISITION,19722.0,20523.0,NaN
2502.0,BANK OF CANTON,COMMERCIAL BANK,STATE,CANTON, OK,10/10/1985 ,FDIC,15756.0,ACQUISITION,20609.0,22438.0,NaN
2504.0,THE FIRST NATIONAL BANK OF ST. JOSEPH,COMMERCIAL BANK,FEDERAL,ST. JOSEPH, MO,10/11/1985 ,FDIC,4602.0,ACQUISITION,175895.0,193485.0,NaN
2503.0,SARATOGA STATE BANK,COMMERCIAL BANK,STATE,SARATOGA, WY,10/11/1985 ,FDIC,525.0,ACQUISITION,16300.0,18470.0,NaN
2505.0,FARMERS STATE BANK IN AFTON,COMMERCIAL BANK,STATE,AFTON, OK,10/17/1985 ,FDIC,2321.0,ACQUISITION,9905.0,10794.0,NaN
7578.0,FARMERS SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,DAVIS, CA,10/18/1985 ,FSLIC,32032.0,PAYOUT,526353.0,590288.0,NaN
2507.0,THE EARLY BANK,COMMERCIAL BANK,STATE,EARLY, TX,10/18/1985 ,FDIC,23024.0,ACQUISITION,15130.0,15846.0,NaN
2508.0,FARMERS STATE BANK OF KANARANZI,COMMERCIAL BANK,STATE,KANARANZI, MN,10/18/1985 ,FDIC,12189.0,ACQUISITION,3823.0,3907.0,NaN
2509.0,THE CITIZENS BANK,COMMERCIAL BANK,STATE,OGDEN, UT,10/18/1985 ,FDIC,19383.0,ACQUISITION,85512.0,93459.0,NaN
2506.0,FIRST STATE BANK,COMMERCIAL BANK,STATE,JET, OK,10/18/1985 ,FDIC,14670.0,ACQUISITION,11495.0,12344.0,NaN
6626.0,YELLOWSTONE STATE BANK,COMMERCIAL BANK,STATE,LANDER, WY,11/1/1985 ,FDIC,23218.0,PAYOUT,20774.0,18676.0,NaN
2510.0,EARLY SAVINGS BANK,COMMERCIAL BANK,STATE,EARLY, IA,11/1/1985 ,FDIC,10116.0,ACQUISITION,11935.0,12890.0,NaN
2511.0,THE AURORA BANK,COMMERCIAL BANK,STATE,AURORA, CO,11/1/1985 ,FDIC,23892.0,ACQUISITION,15214.0,16567.0,NaN
2513.0,NORTHSHORE BANK,COMMERCIAL BANK,STATE,HOUSTON, TX,11/8/1985 ,FDIC,18859.0,ACQUISITION,43341.0,47187.0,NaN
2512.0,AUBURN SAVINGS BANK,COMMERCIAL BANK,STATE,AUBURN, IA,11/8/1985 ,FDIC,14271.0,ACQUISITION,6647.0,6833.0,NaN
5629.0,FIRST NATIONAL BANK OF TEAGUE,COMMERCIAL BANK,FEDERAL,TEAGUE, TX,11/14/1985 ,FDIC,5550.0,PAYOUT,29155.0,31995.0,NaN
6630.0,THE FARMERS AND MERCHANTS STATE BANK OF RU,COMMERCIAL BANK,STATE,LA CROSSE, KS,11/21/1985 ,FDIC,13160.0,PAYOUT,28914.0,32647.0,NaN
2516.0,THE CLARKSDALE BANK OF CLARKDALE,COMMERCIAL BANK,STATE,CLARKSDALE, MO,11/21/1985 ,FDIC,8562.0,ACQUISITION,5847.0,6167.0,NaN
2514.0,DECATAUR COUNTY NATIONAL BANK OF OBERLIN,COMMERCIAL BANK,FEDERAL,OBERLIN, KS,11/21/1985 ,FDIC,4740.0,ACQUISITION,16786.0,18362.0,NaN
2515.0,THE DILL STATE BANK,COMMERCIAL BANK,STATE,DILL CITY, OK,11/21/1985 ,FDIC,2306.0,ACQUISITION,14289.0,15459.0,NaN
2519.0,CALIFORNIA HERITAGE BANK,COMMERCIAL BANK,STATE,SAN DIEGO, CA,11/22/1985 ,FDIC,21691.0,ACQUISITION,22397.0,24114.0,NaN
2517.0,CHESTER STATE BANK,COMMERCIAL BANK,STATE,CHESTER, TX,11/22/1985 ,FDIC,11931.0,ACQUISITION,10979.0,11722.0,NaN
2518.0,ALLEN COUNTY BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,LEO, IN,11/22/1985 ,FDIC,20533.0,ACQUISITION,10524.0,10907.0,NaN
7585.0,USM (U.S. MUTUAL) S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,ANN ARBOR, MI,11/26/1985 ,FSLIC,31761.0,PAYOUT,286973.0,306069.0,NaN
7565.0,CITIZENS S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SALEM, OR,12/4/1985 ,FSLIC,31792.0,TRANSFER,153498.0,239709.0,NaN
5638.0,THE FARMERS AND MERCHANTS NATIONAL BANK OF,COMMERCIAL BANK,FEDERAL,HENNESSY, OK,12/5/1985 ,FDIC,4115.0,PAYOUT,27452.0,28684.0,NaN
6637.0,SECURITY STATE BANK,COMMERCIAL BANK,STATE,BROKEN BOW, NE,12/5/1985 ,FDIC,1433.0,PAYOUT,7550.0,8040.0,NaN
7525.0,STATE  FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,CORVALLIS, OR,12/6/1985 ,FSLIC,31354.0,TRANSFER,443856.0,563862.0,NaN
7524.0,GUARANTY S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,HARRISON, AR,12/6/1985 ,FSLIC,31321.0,TRANSFER,316527.0,451432.0,NaN
2522.0,THE FIRST NATIONAL BANK IN LINCOLN COUNTY,COMMERCIAL BANK,FEDERAL,RUIDOSO, NM,12/13/1985 ,FDIC,23977.0,ACQUISITION,30697.0,32024.0,NaN
2521.0,LAKE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,LAKE OZARK, MO,12/13/1985 ,FDIC,24449.0,ACQUISITION,19130.0,19795.0,NaN
2520.0,THE FARMERS STATE BANK OF BARRY COUNTY, EX,COMMERCIAL BANK,STATE,EXETER, MO,12/13/1985 ,FDIC,12460.0,ACQUISITION,4079.0,4203.0,NaN
2524.0,FARMERS STATE BANK,COMMERCIAL BANK,STATE,SARGENT, NE,12/19/1985 ,FDIC,16732.0,ACQUISITION,11321.0,12474.0,NaN
6642.0,FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,COMSTOCK, NE,12/19/1985 ,FDIC,8596.0,PAYOUT,3180.0,3324.0,NaN
6645.0,PRINCETON STATE BANK,COMMERCIAL BANK,STATE,PRINCETON, MO,12/19/1985 ,FDIC,8299.0,PAYOUT,16809.0,18366.0,NaN
2523.0,BANK OF PANAMA,COMMERCIAL BANK,STATE,PANAMA, NE,12/19/1985 ,FDIC,18726.0,ACQUISITION,4281.0,4376.0,NaN
2526.0,FIRST CITY BANK,COMMERCIAL BANK,STATE,GLENDALE, CA,12/20/1985 ,FDIC,22698.0,ACQUISITION,28772.0,35813.0,NaN
2525.0,STATE BANK OF FROST,COMMERCIAL BANK,STATE,FROST, MN,12/20/1985 ,FDIC,1917.0,ACQUISITION,6603.0,7736.0,NaN
2528.0,FIRST STATE BANK,COMMERCIAL BANK,STATE,CACHE, OK,1/9/1986 ,FDIC,8976.0,ACQUISITION,18897.0,20725.0,4108.0
2527.0,THE FIRST NATIONAL BANK OF WHITE CITY,COMMERCIAL BANK,FEDERAL,WHITE CITY, KS,1/9/1986 ,FDIC,4798.0,ACQUISITION,9239.0,9607.0,3408.0
6933.0,MANHATTAN BEACH S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,MANHATTAN BEACH, CA,1/9/1986 ,FSLIC,32205.0,TRANSFER,49569.0,51119.0,NaN
2529.0,BANK OF DIXIE,COMMERCIAL BANK,STATE,LAKE PROVIDENCE, LA,1/10/1986 ,FDIC,8147.0,ACQUISITION,36452.0,41444.0,13622.0
6652.0,AMERICAN BANK OF CASPER,COMMERCIAL BANK,STATE,CASPER, WY,1/17/1986 ,FDIC,22670.0,TRANSFER,18905.0,20489.0,7066.0
2530.0,FIRST PROGRESSIVE BANK,COMMERCIAL BANK,STATE,METAIRIE, LA,1/17/1986 ,FDIC,21722.0,ACQUISITION,37908.0,39362.0,15563.0
2531.0,UTAH FIRSTBANK,COMMERCIAL BANK,STATE,SALT LAKE CITY, UT,1/24/1986 ,FDIC,22715.0,ACQUISITION,39601.0,38492.0,10297.0
2532.0,PIONEER STATE BANK,COMMERCIAL BANK,STATE,SALT LAKE CITY, UT,1/24/1986 ,FDIC,22818.0,ACQUISITION,10893.0,11698.0,537.0
7562.0,BOHEMIAN S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,ST. LOUIS, MO,1/30/1986 ,FSLIC,32273.0,TRANSFER,220643.0,242394.0,NaN
5655.0,THE PEOPLES NATIONAL BANK & TRUST,COMMERCIAL BANK,FEDERAL,ALBIA, IA,2/6/1986 ,FDIC,4422.0,PAYOUT,49408.0,51966.0,13438.0
6657.0,VALENCIA BANK,COMMERCIAL BANK,STATE,PLACENTIA, CA,2/7/1986 ,FDIC,20572.0,TRANSFER,99181.0,101081.0,0.0
2534.0,JOHNSON COUNTY BANK,COMMERCIAL BANK,STATE,TECUMSEH, NE,2/7/1986 ,FDIC,11484.0,ACQUISITION,19384.0,20173.0,4818.0
7566.0,MT. WHITNEY S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,EXETER, CA,2/12/1986 ,FSLIC,32058.0,TRANSFER,83873.0,81642.0,NaN
5660.0,EXECUTIVE CENTER BANK, N.A.,COMMERCIAL BANK,FEDERAL,DALLAS, TX,2/14/1986 ,FDIC,25162.0,PAYOUT,9608.0,9911.0,3208.0
2535.0,FIRST NATIONAL BANK OF TIPTON,COMMERCIAL BANK,FEDERAL,TIPTON, IA,2/14/1986 ,FDIC,16740.0,ACQUISITION,18008.0,17896.0,665.0
2536.0,PARK BANK OF FLORIDA,COMMERCIAL BANK,STATE,ST. PETERSBURG, FL,2/14/1986 ,FDIC,20859.0,ACQUISITION,577791.0,591667.0,134893.0
NaN,INTERCAPITAL S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,JACKSONVILLE BEACH, FL,2/14/1986 ,FSLIC,32215.0,TRANSFER,70825.0,65233.0,NaN
7576.0,AMERICAN DIVERSIFIED SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,COSTA MESA, CA,2/14/1986 ,FSLIC,32006.0,PAYOUT,958953.0,978635.0,NaN
6661.0,ELK CITY STATE BANK,COMMERCIAL BANK,STATE,ELK CITY, OK,2/21/1986 ,FDIC,23151.0,PAYOUT,21408.0,22159.0,7862.0
2538.0,FIRST NATIONAL BANK AT DOUGLAS,COMMERCIAL BANK,FEDERAL,DOUGLAS, WY,2/21/1986 ,FDIC,19405.0,ACQUISITION,14260.0,14020.0,4103.0
7574.0,CAPITOL S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,MOUNT PLEASANT, IA,2/21/1986 ,FSLIC,29920.0,TRANSFER,180527.0,192018.0,NaN
2537.0,THE FIRST NATIONAL BANK OF GORMAN,COMMERCIAL BANK,FEDERAL,GORMAN, TX,2/27/1986 ,FDIC,3224.0,ACQUISITION,13623.0,14486.0,5669.0
2540.0,THE CITY NATIONAL BANK OF PLAINVIEW,COMMERCIAL BANK,FEDERAL,PLAINVIEW, TX,3/6/1986 ,FDIC,13920.0,ACQUISITION,49606.0,48357.0,1632.0
2539.0,THE FIRST NATIONAL BANK OF TEKAMAH,COMMERCIAL BANK,FEDERAL,TEKAMAH, NE,3/6/1986 ,FDIC,5482.0,ACQUISITION,20228.0,21166.0,2204.0
6666.0,THE CITIZENS BANK OF WINIGAN,COMMERCIAL BANK,STATE,WINIGAN, MO,3/7/1986 ,FDIC,9391.0,PAYOUT,6209.0,6534.0,1270.0
6667.0,FARMERS & MERCHANTS ST BK OF LAMBERTON,COMMERCIAL BANK,STATE,LAMBERTON, MN,3/14/1986 ,FDIC,1405.0,TRANSFER,16196.0,17139.0,3611.0
2541.0,WILLIAMS SAVINGS BANK,COMMERCIAL BANK,STATE,WILLIAMS, IA,3/20/1986 ,FDIC,12667.0,ACQUISITION,11746.0,12847.0,359.0
NaN,GUARANTY S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,LONGVIEW, WA,3/21/1986 ,FSLIC,30966.0,TRANSFER,13877.0,22341.0,NaN
NaN,WESTWOOD S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,LOS ANGELES, CA,3/27/1986 ,FSLIC,31927.0,MANAGEMENT,550570.0,583179.0,NaN
2544.0,STOCKHOLM STATE BANK,COMMERCIAL BANK,STATE,STOCKHOLM, SD,3/27/1986 ,FDIC,9951.0,ACQUISITION,6644.0,7154.0,991.0
2542.0,FIRST STATE BANK,COMMERCIAL BANK,STATE,WHITE CLOUD, KS,3/27/1986 ,FDIC,17616.0,ACQUISITION,5597.0,6083.0,1399.0
2543.0,FIRST STATE BANK,COMMERCIAL BANK,STATE,MEMPHIS, TX,3/27/1986 ,FDIC,11911.0,ACQUISITION,16307.0,17008.0,4708.0
2545.0,FAMILY BANK,COMMERCIAL BANK,STATE,OGDEN, UT,3/28/1986 ,FDIC,22432.0,ACQUISITION,24673.0,27979.0,2764.0
6672.0,FARMERS & MERCHANTS BANK OF HUNTSVILLE,COMMERCIAL BANK,STATE,HUNTSVILLE, MO,3/28/1986 ,FDIC,14389.0,TRANSFER,17590.0,16603.0,4718.0
2547.0,EDDY COUNTY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,CARLSBAD, NM,4/3/1986 ,FDIC,23190.0,ACQUISITION,26541.0,30352.0,10919.0
2546.0,INDUSTRIAL NATIONAL BANK OF EAST CHICAGO,COMMERCIAL BANK,FEDERAL,EAST CHICAGO, IN,4/3/1986 ,FDIC,22774.0,ACQUISITION,8146.0,8387.0,1180.0
7529.0,MAINLAND  S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,HOUSTON, TX,4/4/1986 ,FSLIC,30342.0,TRANSFER,873609.0,1003281.0,NaN
2549.0,THE FIRST NATIONAL BANK OF RUSTON,COMMERCIAL BANK,FEDERAL,RUSTON, LA,4/10/1986 ,FDIC,14308.0,ACQUISITION,31047.0,31539.0,2287.0
6677.0,THE PEOPLES BANK OF MERCER,COMMERCIAL BANK,STATE,MERCER, MO,4/10/1986 ,FDIC,11451.0,PAYOUT,10456.0,10412.0,1987.0
2548.0,THE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,DYERSVILLE, IA,4/10/1986 ,FDIC,4452.0,ACQUISITION,39806.0,43038.0,11234.0
2550.0,CENTER NATIONAL BANK,COMMERCIAL BANK,FEDERAL,LOS ANGELES, CA,4/11/1986 ,FDIC,23920.0,ACQUISITION,45728.0,47721.0,10939.0
NaN,GATEWAY SB,SAVINGS ASSOCIATION,FEDERAL/STATE,SAN FRANCISCO, CA,4/14/1986 ,FSLIC,32059.0,MANAGEMENT,166948.0,155852.0,NaN
7555.0,SUMMIT S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,PARK CITY, UT,4/16/1986 ,FSLIC,31989.0,PAYOUT,180733.0,210684.0,NaN
2551.0,FLORIDA CENTER BANK,COMMERCIAL BANK,STATE,ORLANDO, FL,4/18/1986 ,FDIC,21531.0,ACQUISITION,72235.0,78891.0,14758.0
6681.0,UNION COUNTY BANK,COMMERCIAL BANK,STATE,MAYNARDVILLE, TN,4/22/1986 ,FDIC,16943.0,TRANSFER,30436.0,32902.0,3473.0
2552.0,FIRST NATIONAL BANK OF IRVING,COMMERCIAL BANK,FEDERAL,IRVING, TX,4/24/1986 ,FDIC,18534.0,ACQUISITION,37809.0,38462.0,5247.0
2553.0,THE FIRST NATIONAL BANK OF BANDERA,COMMERCIAL BANK,FEDERAL,BANDERA, TX,4/24/1986 ,FDIC,3088.0,ACQUISITION,15062.0,15541.0,2459.0
5686.0,THE FIRST NATIONAL BANK OF CARTER,COMMERCIAL BANK,FEDERAL,CARTER, OK,5/1/1986 ,FDIC,4055.0,PAYOUT,6714.0,7344.0,1508.0
2555.0,THE BEDFORD NATIONAL BANK,COMMERCIAL BANK,FEDERAL,BEDFORD, IA,5/1/1986 ,FDIC,4426.0,ACQUISITION,18365.0,19323.0,4648.0
2554.0,BANK OF NORTONVILLE,COMMERCIAL BANK,STATE,NORTONVILLE, KS,5/1/1986 ,FDIC,4742.0,ACQUISITION,6472.0,7249.0,2473.0
2556.0,BANK OF COMMERCE & TRUST COMPANY,COMMERCIAL BANK,STATE,TULSA, OK,5/8/1986 ,FDIC,4215.0,ACQUISITION,154279.0,182653.0,52895.0
2558.0,FIRST BANK & TRUST OF IDAHO,COMMERCIAL BANK,STATE,MALAD CITY, ID,5/9/1986 ,FDIC,2864.0,ACQUISITION,51885.0,55867.0,17244.0
2557.0,RAINSVILLE BANK,COMMERCIAL BANK,STATE,RAINSVILLE, AL,5/9/1986 ,FDIC,19216.0,ACQUISITION,16081.0,17489.0,566.0
2559.0,THE CITIZENS STATE BANK OF ST. FRANCIS,COMMERCIAL BANK,STATE,ST. FRANCIS, KS,5/15/1986 ,FDIC,14767.0,ACQUISITION,22073.0,24189.0,8430.0
5691.0,SADDLEBACK NATIONAL BANK,COMMERCIAL BANK,FEDERAL,LAGUNA HILLS, CA,5/15/1986 ,FDIC,24645.0,TRANSFER,13112.0,13454.0,3937.0
7542.0,CONSOLIDATED SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,IRVINE, CA,5/22/1986 ,FSLIC,32199.0,PAYOUT,78422.0,84370.0,NaN
2561.0,FIRST STATE BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,EDINBURG, TX,5/23/1986 ,FDIC,16382.0,ACQUISITION,136979.0,137947.0,21671.0
6694.0,SUNSHINE STATE BANK,COMMERCIAL BANK,STATE,SOUTH MIAMI, FL,5/23/1986 ,FDIC,20857.0,PAYOUT,103092.0,109404.0,58532.0
2560.0,CENTENNIAL STATE BANK OF COLORADO,COMMERCIAL BANK,STATE,ENGLEWOOD, CO,5/23/1986 ,FDIC,20912.0,ACQUISITION,20210.0,20357.0,2050.0
2562.0,ROSELAND STATE BANK,COMMERCIAL BANK,STATE,ROSELAND, NE,5/28/1986 ,FDIC,14034.0,ACQUISITION,11237.0,12020.0,662.0
2563.0,THE LONE ROCK BANK, N.A.,COMMERCIAL BANK,FEDERAL,LONE ROCK, IA,5/29/1986 ,FDIC,25297.0,ACQUISITION,7165.0,7462.0,2200.0
5697.0,THE FIRST NATIONAL BK & TR CO. OF NORMAN,COMMERCIAL BANK,FEDERAL,NORMAN, OK,5/29/1986 ,FDIC,4157.0,TRANSFER,75727.0,73170.0,28732.0
2565.0,BANK OF COLUMBIA FALLS,COMMERCIAL BANK,STATE,COLUMBIA FALLS, MT,5/30/1986 ,FDIC,8315.0,ACQUISITION,39228.0,41470.0,18393.0
7531.0,SEAPOINTE S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,CARLSBAD, CA,5/31/1986 ,FSLIC,32314.0,TRANSFER,37882.0,17343.0,NaN
6700.0,THE CITIZENS ST BANK OF MCCRACKEN,COMMERCIAL BANK,STATE,MCCRACKEN, KS,6/5/1986 ,FDIC,18093.0,PAYOUT,10691.0,11396.0,6008.0
6701.0,SECURITY BANK OF GLENROCK,COMMERCIAL BANK,STATE,GLENROCK, WY,6/6/1986 ,FDIC,23807.0,PAYOUT,5619.0,5993.0,2314.0
5702.0,PETROBANK, N.A.,COMMERCIAL BANK,FEDERAL,HOUSTON, TX,6/12/1986 ,FDIC,24296.0,PAYOUT,34624.0,35455.0,12647.0
2567.0,THE BANK OF COMMERCE,COMMERCIAL BANK,STATE,SHREVEPORT, LA,6/13/1986 ,FDIC,21889.0,ACQUISITION,74262.0,75430.0,27805.0
2566.0,BOSSIER BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,BOSSIER CITY, LA,6/13/1986 ,FDIC,8142.0,ACQUISITION,201871.0,215830.0,86182.0
