Airport Code,Year,Month,Domestic Flights,International Flights,Total Flights
EWR,1983,Mar,16116,222,16338
LGA,2006,Oct,31048,1845,32893
EWR,2013,Sep,25082,7263,32345
ACY,2014,Jun,1047,7,1054
EWR,2007,Aug,29273,8479,37752
LGA,1984,Mar,23970,0,23970
EWR,2008,Dec,26417,6854,33271
EWR,1989,Nov,27111,1340,28451
EWR,1977,Sep,11120,235,11355
JFK,1995,May,17583,9002,26585
LGA,1997,May,25903,2075,27978
EWR,2008,Apr,28126,8343,36469
JFK,2012,Jun,20668,13341,34009
EWR,2010,Mar,25817,8256,34073
SWF,2013,Apr,618,2,620
JFK,1990,Aug,13184,9558,22742
JFK,2013,Dec,19542,13541,33083
JFK,2009,Apr,22261,11296,33557
EWR,1995,Sep,30577,2777,33354
EWR,2003,Dec,27926,5272,33198
EWR,1979,Jan,12810,233,13043
JFK,1980,Nov,14545,5435,19980
JFK,2009,Jan,22152,11687,33839
EWR,1992,Oct,31418,2309,33727
EWR,2007,Jul,27850,8292,36142
EWR,1995,Jan,30892,2427,33319
SWF,2007,Aug,1409,0,1409
EWR,1984,Jan,21921,178,22099
LGA,1979,Sep,21854,0,21854
JFK,1984,Jun,16020,7212,23232
LGA,2011,Apr,27822,1752,29574
JFK,2013,Sep,19453,13070,32523
JFK,1984,Nov,14301,6039,20340
JFK,2013,Feb,16987,10772,27759
LGA,2002,Mar,27320,1504,28824
LGA,1981,Jun,24778,0,24778
JFK,1986,Oct,12724,6928,19652
EWR,1990,Nov,28456,1804,30260
EWR,2014,Feb,19611,6192,25803
JFK,1994,Jun,20658,9163,29821
LGA,2008,Mar,29641,1870,31511
LGA,2012,Sep,26803,2936,29739
JFK,1987,Mar,12778,6481,19259
JFK,1998,May,17357,10240,27597
EWR,2006,Oct,29689,6927,36616
SWF,2008,Nov,739,4,743
LGA,2010,Oct,28909,2125,31034
EWR,2014,Apr,22619,7502,30121
LGA,1991,Aug,24911,1577,26488
LGA,1987,Dec,26757,104,26861
JFK,2010,Feb,17495,10106,27601
EWR,2006,Aug,30715,7913,38628
JFK,1996,Feb,15489,8907,24396
LGA,2003,Nov,29345,1520,30865
LGA,1998,Apr,26154,1909,28063
LGA,1985,Jan,25482,54,25536
LGA,1999,Apr,27429,2078,29507
EWR,2006,Jun,28819,7342,36161
EWR,2012,May,26160,8218,34378
LGA,1990,Jun,26354,1504,27858
SWF,2010,Mar,641,0,641
LGA,1995,Jul,25043,2002,27045
JFK,1987,May,13053,7479,20532
ACY,2014,Oct,845,7,852
LGA,1987,May,27996,124,28120
EWR,1988,Apr,26206,800,27006
JFK,1998,Feb,16759,8650,25409
EWR,2012,Nov,24926,7087,32013
JFK,1992,Nov,17283,7712,24995
LGA,1979,Jun,21434,0,21434
JFK,1990,Jun,12224,8740,20964
LGA,1982,Sep,21405,0,21405
ACY,2014,Aug,1077,4,1081
JFK,1996,Mar,17006,9845,26851
LGA,2010,Jun,27483,2169,29652
LGA,2008,Sep,28983,1929,30912
ACY,2012,Apr,977,2,979
SWF,2006,Sep,726,3,729
EWR,1984,May,24498,246,24744
LGA,1982,Jul,22375,0,22375
SWF,2010,Aug,643,0,643
JFK,2014,Jul,22427,16349,38776
EWR,1981,Feb,11829,52,11881
EWR,1979,Dec,12945,163,13108
