CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,India,2020-12-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1200,1290,No,-,-,2020-12-11,2020,Q4,12,11
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,India,2020-12-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,80,100,No,-,-,2020-12-11,2020,Q4,12,11
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,India,2020-12-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,100,112,No,-,-,2020-12-11,2020,Q4,12,11
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,India,2020-12-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,70,80,No,-,-,2020-12-11,2020,Q4,12,11
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,India,2020-12-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,40,50,No,-,-,2020-12-11,2020,Q4,12,11
"Coffee, tea, mate and spices",2020-12-09,2020,Q4,12,9,India,2020-12-13,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),No,-,No,-,No,-,No,-,2000,2088,No,-,-,,2020,Q4,12,9
"Coffee, tea, mate and spices",2020-12-09,2020,Q4,12,9,India,2020-12-13,904220019,Other,No,-,No,-,No,-,No,-,3000,3132,No,-,-,,2020,Q4,12,9
"Coffee, tea, mate and spices",2020-12-09,2020,Q4,12,9,China,2020-12-14,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,12960,14040,No,-,-,2020-12-24,2020,Q4,12,24
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,India,2020-12-10,9042110,Sweet peppers,Yes,Satisfactory,No,-,No,-,No,-,300,384,No,-,-,2020-12-13,2020,Q4,12,13
"Coffee, tea, mate and spices",2020-12-10,2020,Q4,12,10,China,2020-12-10,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,22000,22284,No,-,-,2020-12-11,2020,Q4,12,11
