DfENumber,SchoolName,Year,NetCapacity
8163401,St Aelred's RC Primary,2012,237
8163002,St Barnabas' CE Primary,2012,140
8163402,St George's RC Primary,2012,192
8163305,St Lawrence's CE Primary,2012,210
8163222,St Mary's CE Primary,2012,105
8163156,St Oswald's CE Primary,2012,294
8163003,St Paul's CE Primary,2012,175
8163403,St Wilfrid's RC Primary,2012,267
8162227,Stockton on the Forest Primary,2012,84
8162429,Tang Hall Primary,2012,210
8162017,Westfield Primary,2012,602
8163380,Wheldrake with Thorganby CE Primary,2012,210
8162240,Wigginton Primary,2012,280
8162027,Woodthorpe Primary,2012,450
8162015,Yearsley Grove Primary,2012,318
8164703,York High,2012,990
8162000,Acomb Primary,2013,243
8164702,All Saints' RC,2013,1232
8164500,Archbishop Holgate's CE,2013,902
8163229,Archbishop of York's CE Junior,2013,240
8162431,Badger Hill Primary,2013,150
8162386,Bishopthorpe Infant,2013,170
