met type,date,mean/sum,min,max,%complete,comments
Air Temperature,23/07/2010,10.27,2.0,17.1,100,
Air Temperature,24/07/2010,12.09,4.7,18.0,100,
Air Temperature,25/07/2010,13.76,12.3,15.1,100,
Air Temperature,26/07/2010,13.19,6.8,17.4,100,
Air Temperature,27/07/2010,15.0,12.9,17.3,100,
Air Temperature,28/07/2010,12.88,9.6,15.1,100,
Air Temperature,29/07/2010,13.98,10.7,18.0,100,
Air Temperature,30/07/2010,13.18,9.7,16.8,100,
Air Temperature,31/07/2010,12.75,10.7,15.3,100,
Air Temperature,01/08/2010,12.8,9.8,15.4,100,
Air Temperature,02/08/2010,13.0,10.7,16.3,100,
Air Temperature,03/08/2010,12.84,10.2,16.5,100,
Air Temperature,04/08/2010,12.58,9.8,16.5,100,
Air Temperature,05/08/2010,11.45,7.8,14.5,100,
Air Temperature,06/08/2010,12.15,7.6,15.8,100,
Air Temperature,07/08/2010,14.16,10.0,17.5,100,
Air Temperature,08/08/2010,13.18,9.1,17.9,100,
Air Temperature,09/08/2010,12.4,7.4,17.1,100,
Air Temperature,10/08/2010,11.01,7.2,13.8,100,
Air Temperature,11/08/2010,11.95,8.9,15.1,100,
Air Temperature,12/08/2010,11.99,6.3,15.5,100,
Air Temperature,13/08/2010,11.73,10.7,13.7,100,
Air Temperature,14/08/2010,12.38,10.1,16.3,100,
Air Temperature,15/08/2010,13.51,7.7,19.9,100,
Air Temperature,16/08/2010,12.17,5.9,17.4,100,
Air Temperature,17/08/2010,14.25,9.7,18.3,100,
Air Temperature,18/08/2010,10.75,5.9,14.6,100,
Air Temperature,19/08/2010,12.9,9.3,16.3,100,
Air Temperature,20/08/2010,15.38,11.8,19.4,100,
Air Temperature,21/08/2010,13.17,10.3,16.0,100,
Air Temperature,22/08/2010,12.91,8.0,16.4,100,
Air Temperature,23/08/2010,10.21,6.7,13.7,100,
Air Temperature,24/08/2010,10.6,8.2,13.3,100,
Air Temperature,25/08/2010,11.51,7.3,16.2,100,
Air Temperature,26/08/2010,11.33,6.5,15.0,100,
Air Temperature,27/08/2010,9.99,2.4,16.4,100,
Air Temperature,28/08/2010,10.64,6.0,15.2,100,
Air Temperature,29/08/2010,10.4,6.6,12.3,100,
Air Temperature,30/08/2010,9.91,5.0,15.4,100,
Air Temperature,31/08/2010,8.88,0.6,16.5,100,
Air Temperature,01/09/2010,10.78,2.7,18.7,100,
Air Temperature,02/09/2010,13.08,9.8,18.3,100,
Air Temperature,03/09/2010,13.63,9.1,19.1,100,
Air Temperature,04/09/2010,12.09,6.4,18.4,100,
Air Temperature,05/09/2010,13.23,11.1,16.4,100,
Air Temperature,06/09/2010,12.8,10.2,15.8,100,
Air Temperature,07/09/2010,12.96,11.0,17.3,100,
Air Temperature,08/09/2010,12.53,8.9,17.9,100,
Air Temperature,09/09/2010,11.82,7.2,16.7,100,
Air Temperature,10/09/2010,13.35,9.4,16.6,100,
Air Temperature,11/09/2010,13.31,11.4,15.5,100,
Air Temperature,12/09/2010,11.79,9.4,14.8,100,
Air Temperature,13/09/2010,13.14,11.1,16.1,100,
Air Temperature,14/09/2010,11.83,6.1,14.4,100,
Air Temperature,15/09/2010,9.66,5.9,13.5,100,
Air Temperature,16/09/2010,9.46,5.4,12.8,100,
Air Temperature,17/09/2010,7.15,2.6,12.3,100,
Air Temperature,18/09/2010,8.59,4.9,12.7,100,
Air Temperature,19/09/2010,11.37,8.1,14.2,100,
Air Temperature,20/09/2010,12.53,11.3,14.8,100,
Air Temperature,21/09/2010,12.8,8.6,17.3,100,
Air Temperature,22/09/2010,13.26,11.5,16.0,100,
Air Temperature,23/09/2010,12.47,9.9,16.8,100,
Air Temperature,24/09/2010,7.43,4.4,9.9,100,
Air Temperature,25/09/2010,6.14,0.4,10.2,100,
Air Temperature,26/09/2010,7.37,4.8,10.7,100,
Air Temperature,27/09/2010,9.46,7.3,10.9,100,
Air Temperature,28/09/2010,11.21,9.9,13.8,100,
Air Temperature,29/09/2010,11.66,8.5,13.6,100,
Air Temperature,30/09/2010,8.8,3.7,13.8,100,
Air Temperature,01/10/2010,9.77,6.3,12.8,100,
