countrycode,countryname,year,SH_UHC_NOP1_CG,SH_UHC_NOP1_TO,SH_UHC_NOP1_ZG,SH_UHC_NOP1_ZS,SH_UHC_NOP2_CG,SH_UHC_NOP2_TO,SH_UHC_NOP2_ZG,SH_UHC_NOP2_ZS,SH_UHC_OOPC_10_TO,SH_UHC_OOPC_10_ZS,SH_UHC_OOPC_25_TO,SH_UHC_OOPC_25_ZS,SH_UHC_SRVS_CV_XD
BLR,Belarus,2008.0,0.0,0.0,0.0,0.0,1.308000064454E-4,3000.0,0.0042200000025331,0.0335307009518146,274000.0,2.874496936798096,10000.0,0.1002805978059768,NaN
BLR,Belarus,2009.0,8.989999855657516E-7,0.0,4.73000000056345E-5,0.0,1.473000011174E-4,2000.0,0.004749999847263,0.0244986992329359,307000.0,3.224186897277832,20000.0,0.2111673057079315,NaN
BLR,Belarus,2010.0,0.0,0.0,0.0,0.0,1.680000059423037E-5,1000.0,5.419999943114E-4,0.0143512999638915,288000.0,3.0373759269714355,5000.0,0.0503067001700401,NaN
BLR,Belarus,2011.0,0.0,0.0,0.0,0.0,6.970000185901881E-7,0.0,2.2500000341096893E-5,0.0,310000.0,3.269507884979248,20000.0,0.2149636000394821,NaN
BLR,Belarus,2012.0,0.0,0.0,0.0,0.0,2.8500000553322025E-5,0.0,9.190000128E-4,0.0,414000.0,4.376698017120361,14000.0,0.1502667963504791,NaN
BOL,Bolivia,1999.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,968000.0,11.830559730529783,299000.0,3.657847881317138,NaN
BOL,Bolivia,2000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,962000.0,11.5381498336792,296000.0,3.550981044769287,NaN
BOL,Bolivia,2001.0,0.0063360999338328,102000.0,0.3334800004959106,1.2054760456085205,0.0203497000038623,102000.0,0.656440019607544,1.1963200569152832,671000.0,7.903364181518555,211000.0,2.481964111328125,NaN
BOL,Bolivia,2002.0,0.0059706000611186,64000.0,0.3142400085926056,0.744047999382019,0.0194975994527339,145000.0,0.6289600133895874,1.6706440448760986,713000.0,8.23398208618164,277000.0,3.195486068725586,NaN
BRA,Brazil,2008.0,0.0073587000370025,2007000.0,0.3873000144958496,1.040266036987305,0.0257612001150846,3874000.0,0.8310099840164185,2.007246971130371,4.93E7,25.555089950561523,6686000.0,3.4644598960876465,NaN
BWA,Botswana,1993.0,0.0118268998339772,13000.0,0.6224700212478638,0.8686434030532837,0.024236099794507,16000.0,0.7818099856376648,1.0904699563980105,128000.0,8.543069839477539,27000.0,1.82267701625824,NaN
CAN,Canada,1994.0,0.0016143999528139,15000.0,0.0849699974060058,0.0521899983286857,0.002256799954921,16000.0,0.0728000029921531,0.0557699985802173,612000.0,2.100709915161133,80000.0,0.2757399976253509,NaN
CAN,Canada,2000.0,0.0025104999076575,20000.0,0.1321299970149994,0.0640499964356422,0.0029728999361395,10000.0,0.0958999991416931,0.0317899994552135,446000.0,1.448830008506775,104000.0,0.3393999934196472,NaN
CAN,Canada,2004.0,0.0018176999874413,7000.0,0.095669999718666,0.0225900001823902,0.0022623999975621,15000.0,0.0729800015687942,0.0480800010263919,614000.0,1.918429970741272,110000.0,0.3443399965763092,NaN
CAN,Canada,2007.0,0.0015068999491631,10000.0,0.0793099999427795,0.031479999423027,0.001941499998793,12000.0,0.0626299977302551,0.0354899987578392,766000.0,2.328739881515503,127000.0,0.3858599960803985,NaN
CAN,Canada,2010.0,0.0012234000023454,11000.0,0.0643900036811828,0.0316799990832805,0.0016441999468952,10000.0,0.0530400015413761,0.0303399991244077,899000.0,2.64424991607666,175000.0,0.5133500099182129,NaN
CHE,Switzerland,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347000.0,18.75069999694824,384000.0,5.344429969787598,NaN
CHE,Switzerland,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386000.0,19.02239990234375,404000.0,5.541120052337647,NaN
