mission,programme,libelle_programme,action,libelle_action,t_categorie,valeur
Culture,131,Création,4,Économie des professions et des industries culturelles,T2,0
Enseignement scolaire,230,Vie de l'élève,3,Accompagnement des élèves handicapés,T5,28010
Justice,310,Conduite et pilotage de la politique de la justice,1,État major,T3,951479
Recherche et enseignement supérieur,191,Recherche duale (civile et militaire),2,Recherche duale en sciences et techniques de l'information et de la communication,T3,3636015
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,11,Recherche universitaire en sciences de l'homme et de la société,T2,205566044
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",6,"Soutien des politiques sanitaires, sociales, du sport de la jeunesse et de la vie associative",T3,141292827
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,6,"Recherche universitaire en sciences de la vie, biotechnologies et santé",T2,55050539
"Agriculture, pêche, alimentation, forêt et affaires rurales",149,Forêt,4,Prévention des risques et protection de la forêt,T3,13221631
"Anciens combattants, mémoire et liens avec la nation",169,Reconnaissance et réparation en faveur du monde combattant,6,Réparation des conséquences sanitaires des essais nucléaires français,T3,800
Direction de l'action du Gouvernement,308,Protection des droits et libertés,4,Haute autorité de lutte contre les discriminations et pour l'égalité,T6,24000
Enseignement scolaire,140,Enseignement scolaire public du premier degré,5,Remplacement,T3,43578
"Agriculture, pêche, alimentation, forêt et affaires rurales",149,Forêt,2,Régime forestier et patrimoine forestier domanial,T6,-13523
Économie,134,Développement des entreprises et de l'emploi,19,Moyens de la politique de l'emploi et de la formation professionnelle,T6,4005
Économie,220,Statistiques et études économiques,6,Action régionale,T3,454436
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,7,Réseau diplomatique,T5,3276658
Culture,175,Patrimoines,6,Patrimoine cinématographique,T3,0
Action extérieure de l'État,185,Diplomatie culturelle et d'influence,4,Attractivité et recherche,T2,0
Justice,166,Justice judiciaire,3,Cassation,T7,0
Justice,182,Protection judiciaire de la jeunesse,2,Mise en oeuvre des mesures judiciaires : mineurs en danger et jeunes majeurs,T3,0
Travail et emploi,111,Amélioration de la qualité de l'emploi et des relations du travail,2,Qualité et effectivité du droit,T2,0
Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",4,Cultes,T6,1527910
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",4,Politique et gestion des systèmes d'information et des réseaux informatiques,T2,-77721
Enseignement scolaire,143,Enseignement technique agricole,1,Mise en oeuvre de l'enseignement dans les établissements publics,T6,43154255
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,6,Politique des ressources humaines,T2,469307163
Politique des territoires,112,Impulsion et coordination de la politique d'aménagement du territoire,4,Instruments de pilotage et d'étude,T6,3109397
Justice,166,Justice judiciaire,7,Formation,T7,0
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",5,Pilotage de la sécurité sociale,T3,-2252195
Direction de l'action du Gouvernement,308,Protection des droits et libertés,3,Conseil supérieur de l'audiovisuel,T2,20779567
Action extérieure de l'État,332,Présidence française du G20 et du G8,5,"Organisation de réunions relevant de la compétence du ministère de l’économie, de l’industrie et de l’emploi",T6,157000
Direction de l'action du Gouvernement,308,Protection des droits et libertés,6,Autres autorités indépendantes,T2,1527626
Enseignement scolaire,140,Enseignement scolaire public du premier degré,2,Enseignement élémentaire,T5,0
Justice,166,Justice judiciaire,4,Conseil supérieur de la magistrature,T7,0
"Solidarité, insertion et égalité des chances",157,Handicap et dépendance,5,Personnes âgées,T6,2805079
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,9,Fonctionnement des établissements,T3,1255766
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,7,Cour nationale du droit d'asile,T3,4677065
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,8,"Recherche universitaire en physique, chimie et sciences pour l'ingénieur",T3,452459436
Défense,178,Préparation et emploi des forces,1,Planification  des moyens et conduite des opérations,T2,1106640685
Aide publique au développement,209,Solidarité à l'égard des pays en développement,2,Coopération bilatérale,T6,1374666685
Défense,146,Équipement des forces,10,Protection et sauvegarde,T5,354068494
Économie,223,Tourisme,1,Promotion de l'image touristique de la France et de ses savoir-faire,T3,32189639
Enseignement scolaire,141,Enseignement scolaire public du second degré,13,Personnels en situations diverses,T2,115460650
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,1,Formation initiale et continue du baccalauréat à la licence,T2,275672855
Sécurité,152,Gendarmerie nationale,4,"Commandement, ressources humaines et logistique",T2,906568162
"Solidarité, insertion et égalité des chances",304,Lutte contre la pauvreté : revenu de solidarité active et expérimentations sociales,1,Revenu de solidarité active,T3,0
Conseil et contrôle de l'État,164,Cour des comptes et autres juridictions financières,2,Contrôle externe et indépendant de la régularité et de l'efficacité de la gestion publique,T6,0
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,5,Coopération de sécurité et de défense,T3,6849203
Justice,310,Conduite et pilotage de la politique de la justice,3,"Évaluation, contrôle, études et recherche",T6,514267
Sécurité,176,Police nationale,2,Sécurité et paix publiques,T5,-20658829
Enseignement scolaire,141,Enseignement scolaire public du second degré,6,Besoins éducatifs particuliers,T2,790838508
Outre-mer,123,Conditions de vie outre-mer,4,"Sanitaire, social, culture, jeunesse et sports",T3,3543753
Économie,134,Développement des entreprises et de l'emploi,14,Régulation et contrôle des marchés de l'énergie (CRE),T6,148196
Politique des territoires,112,Impulsion et coordination de la politique d'aménagement du territoire,4,Instruments de pilotage et d'étude,T3,12746854
Action extérieure de l'État,185,Diplomatie culturelle et d'influence,5,Agence pour l'enseignement français à l'étranger,T2,0
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,4,Moyens communs,T6,554322
"Anciens combattants, mémoire et liens avec la nation",169,Reconnaissance et réparation en faveur du monde combattant,6,Réparation des conséquences sanitaires des essais nucléaires français,T6,37218
Outre-mer,138,Emploi outre-mer,1,Soutien aux entreprises,T3,431889
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",7,Fonds social européen - Assistance technique,T2,811
"Médias, livre et industries culturelles",180,Presse,3,Livre et lecture,T5,0
Recherche et enseignement supérieur,186,Recherche culturelle et culture scientifique,4,Recherches transversales et pilotage du programme,T6,0
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",13,Recherche partenariale dans le développement et l'aménagement durable,T5,0
Action extérieure de l'État,185,Diplomatie culturelle et d'influence,2,Coopération culturelle et promotion du français,T2,0
"Agriculture, pêche, alimentation, forêt et affaires rurales",149,Forêt,4,Prévention des risques et protection de la forêt,T5,3177321
"Agriculture, pêche, alimentation, forêt et affaires rurales",154,"Économie et développement durable de l'agriculture, de la pêche et des territoires",16,Gestion durable des pêches et de l'aquaculture,T3,12950511
Direction de l'action du Gouvernement,308,Protection des droits et libertés,2,Commission nationale de l'informatique et des libertés,T2,9876757
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,10,Infrastructures de transports collectifs et ferroviaires,T3,21238220
"Écologie, développement et aménagement durables",205,Sécurité et affaires maritimes,2,Gens de mer et enseignement maritime,T5,33495
Économie,223,Tourisme,4,Soutien du programme tourisme,T5,0
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,2,Fiscalité des PME,T3,45843819
Justice,166,Justice judiciaire,1,Traitement et jugement des contentieux civils,T7,0
Politique des territoires,162,Interventions territoriales de l'État,6,Plan gouvernemental sur le Marais Poitevin - Poitou Charentes,T5,69353
Régimes sociaux et de retraite,195,"Régimes de retraite des mines, de la SEITA et divers",4,Caisse des retraites des régies ferroviaires d'outre-mer,T6,3934797
Justice,166,Justice judiciaire,6,Soutien,T7,0
Politique des territoires,162,Interventions territoriales de l'État,4,Programme exceptionnel d'investissements en faveur de la Corse,T3,-24954
