Code dossier_T0_Début suspension_Fin suspension_Date avis définitif_Date envoi CEPS
CT-18180;22/10/2019;24/04/2020;24/06/2020;09/07/2020;09/07/2020
CT-18179;22/10/2019;;;08/01/2020;21/01/2020
CT-18178;22/10/2019;15/11/2019;04/12/2019;19/02/2020;21/02/2020
CT-18176;21/10/2019;;;08/01/2020;24/01/2020
CT-18172;16/10/2019;;;15/04/2020;15/04/2020
CT-18170;15/10/2019;;;08/01/2020;16/01/2020
CT-18169;10/10/2019;;;24/06/2020;25/06/2020
CT-18159;08/10/2019;;;13/05/2020;15/05/2020
CT-18154;07/10/2019;21/02/2020;03/03/2020;13/05/2020;14/05/2020
CT-18145;07/10/2019;;;04/03/2020;19/03/2020
CT-18144;07/10/2019;;;22/04/2020;22/04/2020
CT-18142;15/10/2019;;;24/06/2020;25/06/2020
CT-18138;04/10/2019;;;11/03/2020;30/03/2020
CT-18135;01/10/2019;21/11/2019;26/11/2019;19/02/2020;21/02/2020
CT-18134;01/10/2019;;;22/07/2020;23/07/2020
CT-18132;01/10/2019;;;11/03/2020;27/03/2020
CT-18120;20/09/2019;;;22/01/2020;13/02/2020
CT-18117;06/02/2020;;;19/02/2020;28/02/2020
CT-18113;26/09/2019;;;15/04/2020;15/04/2020
CT-18094;10/09/2019;;;19/02/2020;28/02/2020
CT-18086;23/08/2019;;;04/03/2020;16/03/2020
